fullname,postQ2Choice-3Days,explanation2-3Days,Key word identifiability,Conciseness,Straightforwardness,Lower cognitive load,Less time to read,Quick skimming,Depends on content,Presented in chunks,Easier navigation / maneuvering,Concepts connected / flowed better,Easy to find details / information,Clear key information / main ideas,Better structure / organization,Easier to understand,Putting information together / digestable,Easier memorization / Recall,Felt more natural,One page,Multiple pages,Readability,Equal,Linearity,Initial learning of content,Final review of content,Higher test,Higher recall
104,H,"I felt I remembered much more from the second passage, if not the small details, then the general overarching ideas and themes. With the first passage there was so much going on in a confusing way I struggled to remember what it is I read, which would not be helpful in academic learning. The second passage would be helpful as it condenses the information in a concise, easy to read way that promotes greater understanding of the material.",0,H,0,0,0,0,0,0,0,0,0,H,H,H,0,H,0,0,0,0,0,0,0,0,0,0
108,K,"I prefer the format of Passage 1 because a lot more information can be conveyed and easily scanned through. However, it depends greatly on how the connections are made to show the relationships and words chosen as connectors. Also, I think I would have scored better on the first passage if I had known the format of questions ahead of time. I had been better prepared for Passage 2 knowing what to expect, and also Passage 2 did not have multiple pages to click through but only 1 graph",0,0,0,0,0,K,0,0,H,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0
112,H,"Passage 2 was so scattered and fragmented that I had difficulty retaining the information and remembering which information was on which page. Passage 1, while it had more words and complete sentences, separated the information in a more coherent and less chaotic way for me.",0,0,0,0,0,0,0,0,0,0,0,0,H,0,0,H,0,0,0,0,0,0,0,0,0,0
114,K,more structured,0,0,0,0,0,0,0,0,0,0,0,0,K,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Both,"The second passage is very effective at providing the information that it wants you to learn when reading the passage. It is very straightforward and simple in its design making it very easy to understand. I feel that the format for passage one is very good at providing the details and context that helps someone understand what they are reading. The format of passage two is very easy to learn from, but passage one helps me preserve the information long term.",0,0,K,0,0,0,0,0,0,0,0,H,K,K,0,H,0,0,0,0,0,0,0,0,0,0
118,Both,"While I do think that Passage 1 is better suited for long term learning, as it is a more digestible format to me, I do believe that the format of Passage 2 could be useful for studying information for quick recall, or to remember something that you already learned.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,Both,0,0,0,0,0,0,0,K,0,0
120,Both,Same reasoning as Question # 1,,,,,,,,,,,,,,,,,,,,,,,,,,
122,H,"I find it helpful to have the information presented in a fuller, story-like format rather than having small fragments of information that I skim through.",0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0
124,H,"Although I scored higher on passage 1 after coming back to it than passage 2, I felt that I remembered the questions more than I remembered the content in passage 1. Anything outside of what was directly asked about for passage 1 I didn't even read. I spent more time looking for answers to specific questions in passage 1 rather than learn about the topic in general.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,K,"I had a hard time retaining anything I learned from passage two because it was so dense. It was a lot easier for me to find answers to questions in the first passage, even though my scores may not represent that. I did a lot more guessing in passage two than passage one multiple choice.",0,0,0,0,0,0,0,0,0,0,K,0,0,0,0,K,0,0,0,0,0,0,0,0,0,0
128,Both,Both formats summarize large amounts of information into an easy to read format (even if passage 2 was easier to read) and can quickly provide the reader with what they want to know in a condensed format.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0
130,K,I felt like I took in more information from the first map.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K,0,0,0,0,0,0,0,0,0,0,0
132,H,"Snarky answer: I suppose it's because I'm (barely) literate. Real answer: it more closely approximates the knowledge representation format I've spent my entire academic career engaging with. I could probably learn to do it the other way if that were what I was accustomed to. I imagine some really smart psycholinguists have more theory here, though; alas, I study syntactic-semantic interfaces, which is less on the processing end.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0
134,H,"The ease of reading and format by concepts allows for quick identification of relevant portions, as well as a linear path of reading if prerequisite information is needed.",0,0,0,0,0,0,0,0,0,0,H,0,H,0,0,0,0,0,0,H,0,H,0,0,0,0
136,K,"the information was divided into chunks, and was easier to take in. The tree diagram also helped to make associations between words",0,0,0,0,0,0,0,0,0,0,0,0,K,0,K,0,0,0,0,0,0,0,0,0,0,0
138,Both,"Passage 2 helped me to retain more information, even though I had to adapt to the new presentation medium at first. Passage 1 was still presented in a medium that was helpful to learning though.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K,H,0,0,0,0,0,0,0,0,0
140,H,"Passage 1 and for sure I need more time to read the passage to answer all the questions. It is different for each one, some might be able to grasp read and grasp information in a short time while for me I like to spend more time reading to understand the whole passage.",0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Both,"I thought about it and both are ok for me, it just depends on what i'm learning about and what works note wise. I tend to spend too much time copying things down so passage 1 is easy in that it has key words and the sort that if I were to have a pen and paper it would be easy to track, but I like the storytelling narrative of one more so I'm more emotionally inclined to it, but I definitely wouldn't like taking notes to passages like that.",K,0,0,0,0,0,Both,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,H,I like the way in which passage one was organized and that's how my mind can connect things together better.,0,0,0,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0
146,H,The second passage had more detailed information.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,H,It helps understand the ideas instead of just random words.,0,0,0,0,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,0,0
150,H,"I retained more information from the second passage, which I know from looking at the written response scores. I also improved more between the pretest and the test using the second representation. I think this was due to having the information blocked into larger text boxes.",0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,H,H
152,Both,"I think it is helpful to splice information up, whether it be by larger chunks or smaller bits of information because it feels like I am reading a condensed version of something. So I retain it better, I think, because I think I am reading the rundown of necessary facts rather than pages of filler information.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Both,0,0,0,0,0
154,H,Same reason as last question: easier to pick out key words myself.,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,Both,Passage 1 was helpful because I could visualize it better than passage 2. So it was easier to remember key words. Passage 2 contained a lot of information in little space. I think it's helpful to learn a story line for example.,K,0,0,0,0,0,Both,0,0,0,0,0,0,0,0,K,0,0,0,0,0,0,0,0,0,0
160,H,"Passage 2 made it so that there were separate places where the information was at, so it didn't feel as overwhelming as the way it was displayed on passage 1 as blocks of text right next to each other. Seeing the scores I got though, it seems that passage 1 is still better for learning, maybe because I had to reread it a couple times to digest what was written and what the answers to the question were.",0,0,0,K,0,0,0,0,0,0,0,0,K,0,0,0,0,0,0,0,0,0,0,0,0,0
162,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,H,The information on passage 2 is more comprehensive.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,Both,"I think both are helpful because they show you how information should flow, and narrow the down the information you need to know.",0,0,0,0,0,0,0,0,0,Both,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,H,"It was more straightforward and detailed, as I feel that I remembered more of it in the long term.",0,0,H,0,0,0,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0
170,K,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Both,both provides different stories which enrich my academic background,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Both,"passage 1 is good for retaining information, getting the whole idea, i think passage 2 allow you to dive into smaller niche",0,0,0,0,0,0,0,0,0,0,K,H,0,0,0,H,0,0,0,0,0,0,0,0,0,0
176,H,Passage 2 was much more detailed and was more concisely laid out that made it much easier for me to learn academically.,0,H,0,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0
178,Neither,"I have to admit that the first passage included a lot of information, which was helpful. But, I did not sense the cohesion in it. I was trying to understand, I did not understand it lightly. And as a recent Master's graduate, I read a LOT. Usually, it is very easy to read long papers and books. But in this case, it was kind of tiring. Same for the second passage, it was too short that I barely understood what it was about. Maybe, the most helpful format would be a balance between both passages. Not too short, not too long, and with cohesion.",,,,,,,,,,,,,,,,,,,,,,,,,,
180,Both,I was able to easily remember details from the learning. Taking pretests on the information also helped me perform better on the tests because I knew what information to look out for while I was reading.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Both,0,0,0,0,0
182,Neither,"I think having short details for the formatting will make it easier to learn, rather than having long details which can be hard to remember and learn from.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,Both,Either is adequate for research and learning new information,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Both,0,0,0,0,0
186,Both,"I initially doubted the effectiveness of Passage 2, as the reading effort was more laborious. However, it seems to have bettered my comprehension of the text - probably in part due to the aforementioned effort. I find that Passage 1 would be helpful as a review tool especially, as broader concepts can be easier studied by looking at a single node.",0,0,0,H,0,0,0,0,0,0,0,0,0,0,K,0,0,0,0,0,0,0,0,H,0,0
190,Both,"One format might work better for me, but for another student the other format might be better for them. Having a variety is good for both students.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Both,0,0,0,0,0
192,Both,"According to the test scores on the multiple choice questions, my understanding of the two passages don't differ greatly. My memory of the first passage is slightly better than the second, but both scores are fairly low (although I don't have knowledge of the average scores). As I predicted at first, I might have better memory of the information in the first passage because I spent more time and energy trying to understand the logic and big picture, but the effort in the beginning was great and didn't lead to a great learning experience. So the two representation formats have their respective pros and cons.",0,0,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K
194,K,"This passage was broken down into concepts in the mind map, rather than throwing a bunch of information at the reader all at once. This was more helpful to my learning in that I could more easily retain the information.",0,0,0,0,0,0,0,0,0,0,0,0,K,0,0,K,0,0,0,0,0,0,0,0,0,0
196,Both,"Passage 1 is helpful in the sense that it's all one screen, but Passage 2 is helpful because it is less wordy.",0,0,0,0,0,0,0,0,0,0,0,0,K,0,0,0,0,H,0,0,0,0,0,0,0,0
198,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Both,"I think that both passages were arguably helpful, but in different ways. The first passage enabled me to remember smaller pieces of information more effectively, such as the ants comparison to popcorn or the deceleration of their mandibles/jaws. However, passage 2 enabled me to remember items as a group or a category, one leading to the next. (E.g. Remembering Berry's first mentioned song made me remember the last mentioned song of his as well, etc.).",0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,Both,0,0,0,0,0,0,0,0,0,0
202,K,"As mentioned earlier, all the main points had their own box and it made it easier to remember. But if you were actually read the passage like a full sentence, it's odd.",0,0,0,0,0,0,0,0,0,0,0,0,K,0,0,K,H,0,0,0,0,0,0,0,0,0
204,H,"I think passage 2 was more helpful because I was able to remember more of the information. On the other hand, I mostly skimmed over passage 1 so I did not remember as much.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0
206,K,Easier to find the answer in the first passage since it was broken up,0,0,0,0,0,0,0,0,0,0,K,0,K,0,0,0,0,0,0,0,0,0,0,0,0,0
208,Both,I think passage 1 would be useful for understanding new material because it sets up an organizational flow to help learn the material but passage 2 might be more helpful when reviewing material to establish new connections and reflect on already acquired knowledge.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K,0,0,0,0,0,0,0,H,K,0,0
210,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,K,The structure of the content seems clearer.,0,0,0,0,0,0,0,0,0,0,0,0,K,0,0,0,0,0,0,0,0,0,0,0,0,0
216,Both,"Passage 1 was easier to read, but it was more difficult to retain information. Passage 2 made it easier to recall individual pieces of info, but it was hard to determine their significance and their function in the larger piece.",0,0,0,0,0,0,0,0,0,0,0,H,0,0,0,K,0,0,0,H,0,0,0,0,0,0
218,H,I think It is easy for the second passage to miss points on the information. We also need to practice how to build the logic net ourselves.,0,0,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,K,The logic is more clear.,0,0,0,0,0,0,0,0,0,0,0,0,K,0,0,0,0,0,0,0,0,0,0,0,0,0
226,H,more academic,,,,,,,,,,,,,,,,,,,,,,,,,,
