UserIndex,postQ1Choice,explanation1,Key word identifiability,Conciseness,Straightforwardness,Lower cognitive load,Less time to read,Quick skimming,Depends on content,Presented in chunks,Easier navigation / maneuvering,Concepts connected / flowed better,Easy to find details / information,Clear key information / main ideas,Better structure / organization,Easier to understand,Putting information together / digestible,Easier memorization / Recall,Felt more natural,One page,Multiple pages
35,H,"I thought passage 2 was easier to read, because all of the information was laid out on one page. In passage 1, there were seven tabs I had to navigate through, and it was unclear to me where the information that the questions were asking would be located precisely. I remember having to click through each of the tabs sometimes to find the answers to each question.",0,0,0,0,0,0,0,0,H,0,H,0,0,0,0,0,0,H,0
37,H,"First, I did not realize the different sections of passage 2 could be expanded, even though it said link I did not think to put my cursor over it. Second, in my academic background I am used to skimming for information, passage 1 is more or less just one page, passage 2 requires multiple clicks to navigate and requires back tracking if information cannot be found.",0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,H,0
39,H,"Switching between pages could be slightly disorienting in Passage 2, whereas Passage 1 was all on one page",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,0
41,K,"It was much easier to skim quickly for information, as opposed to the second one, which required a lot more reading.",0,0,0,0,0,K,0,0,0,0,0,0,0,0,0,0,0,0,0
43,H,The information was more readily accessible in passage 1 then passage 2. It didn't make you go through several different concept maps to acquire all the necessary information.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,0
45,H,I find it easier to read sentences/paragraphs and then connect them rather than just phrases and words,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,0
47,H,"There wasn't that much of a difference since they both require a skim read and a general understanding of where certain pieces of information are located. However, in terms of finding an answer where I don't know the location of, I found the second one to be easier just because the paragraph nature of it forced me to finish reading and understand the entire node before moving on to the next one, while for the first one because I am more looking for particular wording to answer question I don't fully register what it is saying and end up spending more time flipping through the links",0,0,0,0,0,0,0,H,0,0,0,0,0,H,0,0,0,H,0
49,H,"Passage 2 is confusing me in some way because it has too many pages, a little hard to locate information.",0,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,H,0
51,H,The organization of the information was easier to follow in passage 2 because each node contained full and complete ideas unlike the first passage that broke up the information too much. Passage 2 was also easier to navigate and find information I was looking for.,0,0,0,0,0,0,0,H,H,0,H,0,H,H,0,0,0,0,0
53,K,Less massive paragraphs and divided into nodes with labels that directed you to the topic you needed to recall the quickest,0,0,0,0,0,0,0,0,0,0,K,0,K,0,0,0,0,0,0
55,H,It summarized the information under one topic. Less navigation which made keeping track of information easier as well.,0,0,0,0,0,0,0,0,H,0,H,0,0,0,0,0,0,0,0
57,H,"Maybe it is a personal preference, but I have always found it easier to understand textual representation than pictorials",0,0,0,0,0,0,0,0,0,0,0,0,0,H,0,0,H,0,0
59,H,Passage 2 involved separate pages to sort through whereas passage 1 included all information on a single page,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,0
61,H,Passage 2 explained the question in the context of a person's history. Passage 2 for me is less difficult then going through the scientific fields of a particular ant species.,0,0,0,0,0,0,Both,0,0,0,0,0,0,0,0,0,0,0,0
63,H,It was straight forward,0,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,H,I thought that passage 1 was easier to read because the information in the second passage was split up too many times and it also required me to remember things from other pages in order to understand the context.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,H,0,H,0
67,H,I believe the first passage was easier to understand because all the information was laid out into mini passages which made it easier to skim through. The second passage however had each word broken down which took more time to understand the reading. You also had to keep going back and forth in the 2nd passage while in the first passage everything was displayed from the start.,0,0,0,0,H,H,0,H,0,0,0,0,H,H,0,0,0,H,0
69,H,"Information wasn't seperated, didn't need to flip through multiple pages to find information",0,0,0,0,0,0,0,0,0,0,H,0,H,0,0,0,0,H,0
71,K,I believe that the second representation was broken up by key points; which allowed me to scan the information more efficiently.,0,0,0,0,0,K,0,0,0,0,0,0,K,0,0,0,0,0,0
73,H,"I think passage one was easier because all the information was directly connected to one another, where as in passage 2 I had to click on several links and sort through the links to find the answer I was looking for. A pro of Passage 2 though was that there was less reading and more direct with the questions pertaining to the passage.",0,0,0,0,0,0,0,0,H,H,H,0,0,0,0,0,0,H,0
75,H,I believe it's more easy for me to have a major topic for a paragraph and I can check the logic relationship of the sentences in the paragraph by my own. Having too much relationship description makes kind of confused.,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0
77,K,Each page of information was easier to skim through because there weren't paragraphs of text that I had to read. The shorter phrases allowed easier manuvering throughout.,0,0,0,0,0,K,0,0,K,0,0,0,0,0,0,0,0,0,0
79,K,It was easier to search for specific information without having to read a whole paragraph to find one piece of information.,0,0,0,0,0,0,0,0,0,0,K,0,0,0,0,0,0,0,0
81,H,It was easier to access the information,0,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0
83,H,I prefered the second format (The one about music) because it reminded me of the nodes we work with. That was a sense of familiar and it was more to the point. I did not have to click on any links or there was not as much scrolling and stalling.,0,0,H,0,0,0,0,0,H,0,0,0,0,0,0,0,H,0,0
85,H,"more explanations, greater detail",0,0,0,0,0,0,Both,0,0,0,0,0,0,0,0,0,0,0,0
87,H,It held more concrete information. Passage 2 was very drawn out and had to many opportunities to click on for information. The only thing I would say about Passage 1 is that it had a lot of filler information. It could have been cut down on and summarized more concisely.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,0
89,H,"The second passage was too granular, and I didn't know which sections to look through due to my lack of knowledge of the subject. The first passag was also easier to look through, because I didn't have to click to a separate page to realize what the node is about.",0,0,0,0,0,0,0,H,H,0,0,0,H,0,0,0,0,H,0
91,H,I felt like it was easier to follow and find information.,0,0,0,0,0,0,0,0,0,H,H,0,0,0,0,0,0,0,0
93,Neither,I'm not used to reading either of the two formats and it was confusing to navigate myself but I think passage 2 was slightly easier to follow,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0
95,H,I didn't have to toggle back and forth as often to understand each subtopic thoroughly.,0,0,0,0,0,0,0,0,H,0,0,0,0,H,0,0,0,H,0
99,H,"Easier to maneuver between information, flows better, there are not many breaks so its easy to read, more depth rather than a few words. Category breakdown felt more natural",0,0,0,0,0,0,0,0,H,H,0,0,0,0,0,0,H,0,0
101,H,Passage 2 had more concise format. Reading the passage 2 was similar to reading the ordinary style paragraphs like books or some online articles.,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,0,0
107,H,"Passage 2 was easier to read because it included full sentences in paragraph format. However, it was not necessarily a better format to convey complex relationships between concepts easily.",0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,0
111,H,"Passage 1 was easier to read because all the information was on one page so I didn't have to remember which page contained which information I needed for a question. That said, Passage 2 made it easier to find distinct words and phrases to answer questions.",K,0,0,0,0,0,0,0,0,0,Both,0,0,0,0,0,0,H,0
113,Neither,p1: too much info on one page p2: need to click around and no idea how it's structured,,,,,,,,,,,,,,,,,,,
121,H,"All of the information in Passage 1 was presented in paragraph format, as if to tell a story. On the other hand, passage 2 just used phrases in the boxes so it was difficult to put all the small pieces of info together.",0,0,0,0,0,0,0,H,0,0,0,0,H,0,H,0,0,0,0
123,H,The short snippets of words in passage 1 felt jarring. It felt like the information I wanted to find was spread thinly accross the entire web. I ended up just scanning the whole thing left to right instead of trying to follow the web. The parent web structure that led to other webs felt fine though.,0,0,0,0,0,0,0,H,0,0,0,0,H,0,0,0,0,0,0
125,K,It was easier to pull out smaller pieces of information from the first and find exactly what I was looking for,0,0,0,0,0,0,0,0,0,0,K,0,0,0,0,0,0,0,0
127,H,Each node had greater detail and it was easier to follow the flow that the author intended for their subject.,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0
129,H,It was easier to read because there were longer paragraphs as opposed to singular words dispersed all over to make sentences.,0,0,0,0,0,0,0,H,0,0,0,0,H,0,0,0,0,0,0
131,H,"The second passage was in a format I encountered for the first time upon starting this session. Seperating all of the nouns from the verbs was quite confusing to actually read and absorb all of the information. Likewise, if you were to ask me a question about Leon Berry without the passage in front of me, I don't think I could answer it; this is not necessarily the case for the trap-jaw ants.",0,0,0,0,0,0,0,0,0,0,0,0,H,H,0,H,0,0,0
133,H,"The extremely short segments in Passage 2 required reading down the information trees as if reading sentences, which given their branching nature was somewhat awkward and unintuitive.",0,0,0,0,0,0,0,0,0,0,0,0,H,0,0,0,H,0,0
135,H,"the first one was easier to read compare to the second format, because they were in complete sentences but line spacing could be a little bigger. The second one felt more like puzzle pieces, it was hard to focus on the whole story as a whole.",0,0,0,0,0,0,0,0,0,0,0,H,H,0,0,0,0,0,0
137,H,"Paragraph format was easier to read because there were fewer nodes to keep track of and search through for answers, plus the paragraphs flowed better than the short phrase format.",0,0,0,0,0,0,0,0,0,H,H,0,0,0,0,0,0,0,0
139,H,Passage 1 was like reading a normal text like a book reading. Passage 2: Information were all over the place and I had to click on link to see more info. Looking for information in Passage 1 was much easier for me,0,0,0,0,0,0,0,0,H,0,H,0,H,0,0,0,H,H,0
141,H,It was annoying having to click through everything and you wouldn't know where the answer's are immediately off the bat. The first one was easier to glimpse through though.,0,0,0,0,0,K,0,0,H,0,H,0,0,0,0,0,0,0,0
143,H,I think that passage one was easier for me to follow. The words flowed better in sentences rather than having connectors and less words.,0,0,0,0,0,0,0,0,0,H,0,0,0,0,H,0,0,0,0
145,H,It had more information and better description.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,H,I think it was easier to follow the information on the second text as the information made more sense in complete sentences.,0,0,0,0,0,0,0,H,0,0,0,0,0,0,H,0,0,0,0
149,H,"Passage one was broken up a bit too small for me. It was more difficult to find the most logical order to read the nodes. In passage two, the map was less overwhelming. It was also easier to read in my head, since I wasn't constantly stopping, trying to figure out where to read next.",0,0,0,H,0,0,0,0,0,H,0,0,H,0,H,0,0,0,0
151,K,"The words that linked the bubbles in Passage 2 more easily formed sentences that I could comprehend, so I could understand how information was related to one another. Passage 1 was a bit more difficult to understand the connections between the bubbles and their information. Passage 1 gave the impression that the information was an evolution or cause and effect, which is wasn't entirely. Passage 2 was just easier to read the network of information and it better categorized the information for me.",0,0,0,0,0,0,0,0,0,K,0,0,K,K,K,0,0,0,0
153,H,Easier for myself to pick out key words rather than having the keywords already displayed in a flow-chart format,H,0,0,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0
157,H,"In passage 1, I didn't like how the lines between the boxes had verbs and reading ""sentences"" in that passage didn't feel ""natural"".",0,0,0,0,0,0,0,0,0,0,0,0,H,0,0,0,H,0,0
159,H,I think passage 1 was easier to read since it was more like passages I had been used to reading before.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,0,0
161,H,"The first one was easier to read because I had less steps to take in order to go back and review what I read. Plus the second one made me rely mostly on scheming for certain words, which meant I did not understand the passage and neither was I able to get the general flow of the passage.",0,0,0,0,0,0,0,0,H,H,0,0,0,H,0,0,0,0,0
163,H,There is more detailed explanation in Passage2.,,,,,,,,,,,H,,,,,,,,
165,K,it was just easier to get important information from the second one better than the first.,0,0,0,0,0,0,0,0,0,0,K,0,0,0,0,0,0,0,0
167,H,It was more linear and had more information - the second one required me to jump around from part to part stringing sentences together.,0,0,0,0,0,0,0,0,H,0,0,0,0,0,H,0,0,0,0
171,K,"passage 2 has fewer text, the structure is more clear",0,0,0,0,0,0,0,0,0,0,0,0,K,0,0,0,0,0,0
173,H,"Passage 1 displayed all information panels as well as their connections together, easier to navigate and follow through.",0,0,0,0,0,0,0,0,H,0,0,0,H,0,0,0,0,H,0
175,K,simpler and easier to skim and read; passage 2 had a lot of words,0,K,0,0,0,K,0,0,0,0,0,0,0,0,0,0,0,0,0
177,K,"Shorter, leaves room for thinking and analyzing. The first passage had too much information and I zoned out several times.",0,K,0,0,0,0,0,0,0,0,0,0,0,0,K,0,0,0,0
179,K,Smaller sections of data together allowed for data to be found easier and remember where it was when taking the quiz after.,0,0,0,0,0,0,0,0,0,0,K,0,K,0,0,K,0,0,0
181,H,Passage 1 was more structured and organized to follow along to since it was short and dense for information regarding the passage.,0,H,0,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0
183,K,Easier to skim through,0,0,0,0,0,K,0,0,0,0,0,0,0,0,0,0,0,0,0
185,H,Passage 2 felt more difficult to read because it was broken up into small components - I felt that I had to work harder to bring the ideas together than when they were presented as more full paragraphs in Passage 1.,0,0,0,H,0,0,0,H,0,0,0,0,0,0,H,0,0,0,0
189,K,It wasn't as condensed so it was a bit easier to navigate and follow the arrows.,0,0,0,0,0,0,0,0,K,0,0,0,K,0,0,0,0,0,0
191,H,The first passage breaks the information into too many pieces to coherently understand the whole picture.,0,0,0,0,0,0,0,H,0,0,0,0,0,H,H,0,0,0,
195,K,"Shorter descriptions. Information was broken down more, which made it easier to read and understand.",0,K,0,0,0,0,0,0,0,0,0,0,K,K,0,0,0,0,0
197,K,Short and straight to the point whereas passage 2 had chunks/paragraphs to read.,0,K,K,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
199,H,The information was easier to process without reading several times due to the more condensed material format,0,0,0,0,0,0,0,H,0,0,0,0,0,H,0,0,0,0,0
201,Neither,"Passage 1 was odd because it didn't really have an order to read in but the transitions made it difficult to follow as a plain flow-chat. Meanwhile, Passage 2 had long block texts that were easy to read once I zoomed in but painful to read as it's a block.",,,,,,,,,,,,,,,,,,,
203,K,Passage 1 was easier to read because the nodes were concise and easier to understand.,0,K,0,0,0,0,0,0,0,0,0,0,0,K,0,0,0,0,0
205,K,Easier to find relevant information,0,0,0,0,0,0,0,0,0,0,K,0,0,0,0,0,0,0,0
207,H,The structure was easier to remember so looking for information seemed easier.,0,0,0,0,0,0,0,0,0,0,H,0,H,0,0,H,0,0,0
209,K,Less information on one page and easy to read + navigate,0,0,0,0,0,0,0,0,K,0,0,0,0,0,0,0,0,0,K
213,H,"The content was organized in several paragraphs that make it easily to be understand. But in passage two, the structure make it more complicated.",0,0,0,0,0,0,0,H,0,0,0,0,H,H,0,0,0,0,0
215,H,Format of Passage 2 required flipping through multiple folders; was difficult to remember which pieces of information were linked to which heading.,0,0,0,0,0,0,0,0,H,0,0,0,H,0,0,0,0,H,0
217,K,"tHe second one is mainly the logic connection, and the important point is listed out. Also it illustrate the connection between points.",0,0,0,0,0,0,0,0,0,K,0,K,K,0,0,0,0,0,0
219,H,I can easily read the whole passage without further clicking the link.,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,H,0
225,K,"all the main point here, easy to read",0,0,0,0,0,0,0,0,0,0,0,K,0,0,0,0,0,0,0
29,H,"Mainly, passage one, by having all of the information on a single page made it easier to interconnect said information mentally. Passage 2 required clicking to and fro, which made the information very disconnected, physically and mentally.",0,0,0,0,0,0,0,0,H,0,0,0,0,0,H,0,0,H,0
103,H,,,,,,,,,,,,,,,,,,,,
115,K,The way that second passage was designed was easier to follow than the horizontal path that section 1 took. Also the amount of text in the first passage was a bit bulky while the second passage provided only the facts and information it wanted to present.,0,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Both,"I think that the first passage was easier to read for longer term learning about the ants, and having information split up into different categories was helpful, but the second passage was much easier for quickly finding information, because everything was listed in brief nodes.",0,K,0,0,0,0,0,0,0,0,K,0,H,0,0,H,0,0,0
119,H,"I enjoyed reading through both formats, although I had a slightly easier time reading through the first passage format because I personally find it easier to read through material that is fully laid out on one page with visual connections between specific topics. It felt like a bit of a hassle to go through multiple pages in the second format (although the individual pages in the second format felt clear enough given the granular bits).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,H,0
169,K,,,,,,,,,,,,,,,,,,,,
193,H,"I am a musician; I had more prior knowledge on the first topic. I don't know much about barn owls, so it was harder to answer the questions on a topic that I knew less about going into the experiment.",0,0,0,0,0,0,Both,0,0,0,0,0,0,0,0,0,0,0,0
