userIndex,birthDate,cond2Start,createdAt,demoQsEnded,demoQsStart,education,ethnicity,gender,language,major,nullPassage,phase,condition,passage,pretestEnded,pretestScore,pretestScoreRatio,pretestTime,previewEnded,previewTime,session,recallEnded,recallScore,recallScoreRatio,recallCosineSim,recallStart,recallTime,recallreText,recallreGrade,recognitionEnded,recognitionScore,recognitionScoreRatio,recognitionTime,duration,postQ1Choice,postQ2Choice,postQsEnded,postQsStart,explanation1,explanation2
3,2000-11-11,2022/02/25 22:37:23,2022/02/24 19:34:57,2022/02/25 23:03:07,2022/02/25 23:02:32,Current undergraduate student,White / Caucasian,Female,English,Psychology,The Asphalt Jungle,0,K2,Conservationist  and Diplomat: The Grey Areas of Panda Conservation,2022/02/25 22:24:47,4,0.5,131,2022/02/25 22:21:47,120,1st,2022/02/25 22:57:23,12,0.3,0.5867654492191068,2022/02/25 22:52:56,265,"The passage was about how a man with a name that starts with a W was influential to the National Zoo in D.C. and panda conservation in general. He went viral for a video of him and a panda playing. The National Zoo had redesigned their panda habitat with his advice which made it better for both the pandas and the visitors. The original design of the enclosure was 12,000 sq ft. The visitors were now able to read about why conservation matters and the pandas were able to have a newly improved design. This design featured things like cooling rocks for when it was hot out and a panda grotto. The panda is important in Chinese culture and is represented by the Yin and Yang symbol. The black and white of the panda is the two sides of the Yin and Yang. ",,2022/02/25 22:37:05,4,0.5,732,39.337599999999995,H2,H2,2022/02/25 22:52:56,2022/02/25 22:51:15,The passages were more concise and there was less scrolling around to figure out the information. It told you want you needed to read in an easier format.,It is easier for me to have everything on one screen so I know where it is an can go back to easily instead of clicking different buttons to get to different sections of text.
3,2000-11-11,2022/02/25 22:37:23,2022/02/24 19:34:57,2022/02/25 23:03:07,2022/02/25 23:02:32,Current undergraduate student,White / Caucasian,Female,English,Psychology,The Asphalt Jungle,0,K2,Conservationist  and Diplomat: The Grey Areas of Panda Conservation,2022/02/25 22:24:47,4,0.5,131,2022/02/25 22:21:47,120,2nd,2022/02/28 22:06:49,13,0.325,0.5950268776390574,2022/02/28 22:02:57,229,The passage was about animal conservation and it looked at the life of a Dr with the name of W and his impact on panda conservation. The National Zoo in Washington D.C. worked with the Dr to create a new panda exhibit. This exhibit benefitted both the pandas and the visitors of the zoo. The visitors were able to learn about different ways that conservation is beneficial and the pandas got many new features to their exhibit. They got a cooling rock and a panda grotto. The black and white coloring of the pandas resembles the Yin and Yang in Chinese culture. ,,2022/02/28 22:08:37,4,0.5,106,16.366316666666666,H2,H2,2022/02/28 22:19:19,,"I think that being able to see all the information at once is more beneficial to how I learn. It is easier to scroll side to side to read everything than have to click around to find information. I felt like the information stuck with me better because I was able to visualize where in the story the information was. With the first passage, I couldn't visualize where the information was because each part of the story was mapped out the same. There were too many pieces to remember.","As I said before, I'm a visual learner. I like to think about where I saw information when I am recalling it. I highlight and write notes in a specific way to remember them. That being said, the paragraph style worked much better for me. Each part of the story had its own box in my head that I knew was places somewhere along the line of other boxes. With passage 1, every piece of information looked the same. The information about the National Zoo and Dr.Wang was very different but they look the same in my head because they were spatially the same.  "
3,2000-11-11,2022/02/25 22:37:23,2022/02/24 19:34:57,2022/02/25 23:03:07,2022/02/25 23:02:32,Current undergraduate student,White / Caucasian,Female,English,Psychology,The Asphalt Jungle,0,K2,Conservationist  and Diplomat: The Grey Areas of Panda Conservation,2022/02/25 22:24:47,4,0.5,131,2022/02/25 22:21:47,120,3rd,2022/03/04 22:15:32,13,0.325,0.6213665445636396,2022/03/04 22:13:09,142,It is about a scientist names Dr. Wang and his work with The National Zoo in Washington D.C. He helped with panda conservation and spreading awareness about panda conservation. He helped redesign the panda exhibit at the zoo and included things like a panda grotto and a cooling rock. There was also informative information for visitors to learn about panda conservation. The black and white of a panda represent Yin and Yang in Chinese culture. ,,2022/03/04 22:16:37,4,0.5,62,10.983,H2,H2,2022/03/04 22:24:08,2022/03/04 22:21:27,I like the paragraph form much better. I think it is easier to remember the information and it makes more sense in my head. I like the storytelling through paragraphs instead of having to move my screen around and click on different parts and be taken from screen to screen to get information. ,"I am somebody who likes to chunk information into sections. The paragraph form really helped with this. I can mentally chunk what information comes first and what happened when, when I'm looking at the story all together. The first passage could be read in any order. It could go left to right, right to left, etc. So many different combinations for reading it. I think having a more linear approach helps a lot. "
3,2000-11-11,2022/02/25 22:37:23,2022/02/24 19:34:57,2022/02/25 23:03:07,2022/02/25 23:02:32,Current undergraduate student,White / Caucasian,Female,English,Psychology,The Asphalt Jungle,1,H2,Prima Ballerina,2022/02/25 22:40:44,3,0.3,152,2022/02/25 22:38:10,46,1st,2022/02/25 23:02:32,12,0.2857142857142857,0.7296176531537104,,299,The passage starts off with a story about a girl named Isabella who did not grow up with a lot of money and got the opportunity to go to a ballet performance with her school. She was mesmerized by the Palace that she was in and felt like she didn't belong in such a nice place. The play she saw was Giselle and she loved every moment of it. TI in spired her to try out for dance. She unfortunately didn't make it and cried for two weeks. She continued to go to the theatre and enjoy shows. She still felt out of place on the plush red seats so she felt uncomfortable sitting back. She eventually had a son named Alejandro who wanted his mom to visit him. He lived in Miami and she lived in Cuba. She did not want to leave Cuba and thought that the dancers in Miami were not as good as the ones in Cuba. He eventually got her tickets to a show she wanted to see so she agreed tcame. She loved it and felt inspired by dance again. ,,2022/02/25 22:51:06,8,0.8,617,39.337599999999995,H2,H2,2022/02/25 22:52:56,2022/02/25 22:51:15,The passages were more concise and there was less scrolling around to figure out the information. It told you want you needed to read in an easier format.,It is easier for me to have everything on one screen so I know where it is an can go back to easily instead of clicking different buttons to get to different sections of text.
3,2000-11-11,2022/02/25 22:37:23,2022/02/24 19:34:57,2022/02/25 23:03:07,2022/02/25 23:02:32,Current undergraduate student,White / Caucasian,Female,English,Psychology,The Asphalt Jungle,1,H2,Prima Ballerina,2022/02/25 22:40:44,3,0.3,152,2022/02/25 22:38:10,46,2nd,2022/02/28 22:12:31,9,0.21428571428571427,0.7251674841121062,2022/02/28 22:08:40,230,"This passage was about Isabella and her son Alejandro. It starts off with Isabella as a young girl with not a lot of money. Her school takes her on a trip to see the ballet and she falls in love with the art of dancing. When she was at the ballet she walked around on tip toes because she felt so unnatural. She is inspired and moved, eventually trying out for a dance team. She does not make the team and she is devastated for weeks. She keeps going to shows and does not feel welcome in their plush red seats. Times goes on and we find out she has a son who lives in Miami. He wants her to visit him but she refuses. He tries to get her to go to the ballet but she says that Cuban ballet is better than Miami. Eventually he finds a show he knows she will love and convinces her to come. She has a great time and is so glad her son had her visit. She is now in love with ballet again.",,2022/02/28 22:14:53,5,0.5,139,16.366316666666666,H2,H2,2022/02/28 22:19:19,,"I think that being able to see all the information at once is more beneficial to how I learn. It is easier to scroll side to side to read everything than have to click around to find information. I felt like the information stuck with me better because I was able to visualize where in the story the information was. With the first passage, I couldn't visualize where the information was because each part of the story was mapped out the same. There were too many pieces to remember.","As I said before, I'm a visual learner. I like to think about where I saw information when I am recalling it. I highlight and write notes in a specific way to remember them. That being said, the paragraph style worked much better for me. Each part of the story had its own box in my head that I knew was places somewhere along the line of other boxes. With passage 1, every piece of information looked the same. The information about the National Zoo and Dr.Wang was very different but they look the same in my head because they were spatially the same.  "
3,2000-11-11,2022/02/25 22:37:23,2022/02/24 19:34:57,2022/02/25 23:03:07,2022/02/25 23:02:32,Current undergraduate student,White / Caucasian,Female,English,Psychology,The Asphalt Jungle,1,H2,Prima Ballerina,2022/02/25 22:40:44,3,0.3,152,2022/02/25 22:38:10,46,3rd,2022/03/04 22:19:29,8,0.19047619047619047,0.7112394480038904,2022/03/04 22:16:38,169,"Isabel is the main character in this passage. She goes on a trip with her school to a ballet. She falls in love with it and decides that she wants to try dance herself. She does not end up making the dance team and she cries for 2 weeks. Isabel still loves ballet and goes to shows when she can. She still feels that the plush red seats are still too posh for her. Eventually, she has a son who moves to Miami. Her son is names Alejandro and he wants his mom to visit him. She is in Cuba and she thinks that Cuban ballet is better. He finally gets her to come, and she falls in love with ballet again and is glad he had her visit.",,2022/03/04 22:20:47,6,0.6,75,10.983,H2,H2,2022/03/04 22:24:08,2022/03/04 22:21:27,I like the paragraph form much better. I think it is easier to remember the information and it makes more sense in my head. I like the storytelling through paragraphs instead of having to move my screen around and click on different parts and be taken from screen to screen to get information. ,"I am somebody who likes to chunk information into sections. The paragraph form really helped with this. I can mentally chunk what information comes first and what happened when, when I'm looking at the story all together. The first passage could be read in any order. It could go left to right, right to left, etc. So many different combinations for reading it. I think having a more linear approach helps a lot. "
4,2003-12-30,2022/06/26 00:17:59,2022/06/19 05:33:01,2022/06/26 00:39:23,2022/06/26 00:38:30,Current undergraduate student,Asian,Male,English,Biology,Publish and Punish: Science's Snowball Effect,0,H2,Reena,2022/06/26 00:07:57,3,0.3,106,2022/06/26 00:05:33,285,1st,2022/06/26 00:36:39,5,0.09615384615384616,0.44886552903725485,2022/06/26 00:34:27,130,"Reena is smart and she passed through adolescence pretty easily.
Reena has around half a dozen siblings.
Reena is smart with specifics given about how she could learn about certain stuffs easily.
Reena is beautiful and is a women of color
Reena's friendship to the narrator was forced by their mother?",,2022/06/26 00:17:37,9,0.9,572,29.091549999999998,H2,Both,2022/06/26 00:34:27,2022/06/26 00:32:37,It had lesser information than passage 2,"It looked to me as if both of them were similar in terms of representation formats, but passage 2 had so much of information that it needed several links to be embedded. "
4,2003-12-30,2022/06/26 00:17:59,2022/06/19 05:33:01,2022/06/26 00:39:23,2022/06/26 00:38:30,Current undergraduate student,Asian,Male,English,Biology,Publish and Punish: Science's Snowball Effect,0,H2,Reena,2022/06/26 00:07:57,3,0.3,106,2022/06/26 00:05:33,285,2nd,2022/06/29 00:36:59,5,0.09615384615384616,0.4195731958391368,2022/06/29 00:33:45,189,"Reena is independent, beautiful and a women of color
Reena went through her adolescence pretty easily
Reena is quite smart and the narrator describes this by providing a comparison as to the complicated things that she learnt.
The text began with reference to Reena's godmother
Reena was overwhelmed with her siblings. She had around half a dozen of siblings?
The text was narrated by Reena's friend?
Reena's friend and Reena were kind of ""forced"" for the friendship because of their mothers?
",,2022/06/29 00:38:40,9,0.9,94,11.7664,Both,Both,2022/06/29 00:45:31,,"Both had the same formatting style?
The amount of information in text 2 was a lot and there were reference to name of scientist and mathematical jargons, which made it harder to remember. 
I also remember that the text 2 had so many embedded links in it which took you to another page, thus the amount of information was more in comparison to text 1 
Text 1 dealt with a simple issue: No jargons, any kind of audience would be able to comprehend it. 
So in terms of easier to ""understand"" it would be text 1 as it had less information, but if text 2 had fewer information and used simple vocabulary, I feel there must not had been a huge difference in retaining information for these two texts. ","In terms of format, both were the same? 
Once again, the type and the amount of information matters!"
4,2003-12-30,2022/06/26 00:17:59,2022/06/19 05:33:01,2022/06/26 00:39:23,2022/06/26 00:38:30,Current undergraduate student,Asian,Male,English,Biology,Publish and Punish: Science's Snowball Effect,1,K2,Managerial Decision Making,2022/06/26 00:23:22,2,0.2222222222222222,48,2022/06/26 00:22:32,269,1st,2022/06/26 00:38:30,6,0.0410958904109589,0.3084879323627428,,103,"Chi- Squared test?
error test?
",,2022/06/26 00:32:22,7,0.7777777777777778,532,29.091549999999998,H2,Both,2022/06/26 00:34:27,2022/06/26 00:32:37,It had lesser information than passage 2,"It looked to me as if both of them were similar in terms of representation formats, but passage 2 had so much of information that it needed several links to be embedded. "
4,2003-12-30,2022/06/26 00:17:59,2022/06/19 05:33:01,2022/06/26 00:39:23,2022/06/26 00:38:30,Current undergraduate student,Asian,Male,English,Biology,Publish and Punish: Science's Snowball Effect,1,K2,Managerial Decision Making,2022/06/26 00:23:22,2,0.2222222222222222,48,2022/06/26 00:22:32,269,2nd,2022/06/29 00:39:39,7,0.04794520547945205,0.27658747194117783,2022/06/29 00:38:45,51,"Chi Squared Test
Error analysis? 
Statistical Analysis?
There were some long scientists names? 
",,2022/06/29 00:41:00,4,0.4444444444444444,76,11.7664,Both,Both,2022/06/29 00:45:31,,"Both had the same formatting style?
The amount of information in text 2 was a lot and there were reference to name of scientist and mathematical jargons, which made it harder to remember. 
I also remember that the text 2 had so many embedded links in it which took you to another page, thus the amount of information was more in comparison to text 1 
Text 1 dealt with a simple issue: No jargons, any kind of audience would be able to comprehend it. 
So in terms of easier to ""understand"" it would be text 1 as it had less information, but if text 2 had fewer information and used simple vocabulary, I feel there must not had been a huge difference in retaining information for these two texts. ","In terms of format, both were the same? 
Once again, the type and the amount of information matters!"
5,2000-10-28,2022/04/27 17:30:12,2022/04/22 10:27:28,2022/04/27 18:11:38,2022/04/27 18:10:14,Current undergraduate student,Asian,Male,English,Information Sciences,Prima Ballerina,0,H2,The Hearing of the Barn Owl,2022/04/27 17:18:27,5,0.5,293,2022/04/27 17:12:49,64,1st,2022/04/27 18:05:02,17,0.12142857142857143,0.6494352513802022,2022/04/27 18:00:00,299,"Owls detect sound in the horizontal and vertical range, what helps them detect sound is when the sound reaches both ears additionally one is better for sounds above the owl and other ear is better for sounds below the owl, the sounds later then get processed in the mid brain, talons move, the owl's face is the most visually appealing as had , owls human same in azimuth but owl 3 time better in elevation,",7,2022/04/27 17:27:51,10,1,558,57.75535,Both,H2,2022/04/27 18:00:00,2022/04/27 17:51:14,"Both because sometimes having all the words in a paragraph format like in passage 1 was easier on my mind to concentrate on there was something more predictable about it, but at the same time separating out the main ideas of a paragraph into a flow chart like in passage 2 was much quicker to read. ","It's hard for me to say, the organization of passage 1 was helpful because I remember the overall structure and flow of the article better as well as certain bits and pieces of details. In passage 2 I don't remember what the overall structure was but I remember certain details from certain paragraphs."
