Passage,Key Phrase,Keyword 1,K1-1,K1-2,K1-3,K1-4,K1-5,K1-6,K1-7,K1-8,K1-9,K1-10,K1-11,K1-12,K1-13,K1-14,K1-15,K1-16,K1-17,K1-18,K1-19,K1-20,K1-21,K1-22,K1-23,Keyword 2,K2-1,K2-2,K2-3,K2-4,K2-5,K2-6,K2-7,K2-8,K2-9,K2-10,K2-11,K2-12,K2-13,K2-14,K2-15,K2-16,K2-17,K2-18,K2-19,K2-20,K2-21,K2-22,K2-23,K2-24,Keyword 3,K3-1,K3-2,K3-3,K3-4,K3-5,K3-6,K3-7,K3-8,K3-9,K3-10,K3-11,K3-12,K3-13,K3-14,K3-15,K3-16,K3-17,K3-18,K3-19,K3-20,K3-21,Keyword 4,K4-1,K4-2,K4-3,K4-4,K4-5,K4-6,K4-7,K4-8,K4-9,K4-10,K4-11,K4-12,K4-13,K4-14,K4-15,Keyword 5,K5-1,K5-2,K5-3,K5-4,K5-5,K5-6,K5-7,K5-8,K5-9,Keyword 6,K6-1,K6-2,K6-3,K6-4,K6-5,K6-6,K6-7,K6-8,K6-9,Keyword 7,K7-1,K7-2,K7-3,K7-4,K7-5,K7-6,K7-7,K7-8,K7-9,Keyword 8,K8-1,K8-2,K8-3,K8-4,K8-5,K8-6,K8-7,K8-8,K8-9,Keyword 9,K9-1,K9-2,K9-3,K9-4,K9-5,K9-6,K9-7,K9-8,K9-9,Keyword 10,K10-1,K10-2,K10-3,K10-4,K10-5,K10-6,K10-7,K10-8,K10-9,K10-10
The Hearing of the Barn Owl,Barn owl must locate prey quickly in horizontal plane,horizon,azimuth,axis,dimension,plane,,,,,,,,,,,,,,,,,,,,quick,fast,hast,rapid,speed,swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Barn owl locates prey similarly to predators that hunt on the ground,predator,hunter,prowler,,,,,,,,,,,,,,,,,,,,,,ground,earth,land,field,,,,,,,,,,,,,,,,,,,,,,similar,like,same,close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Barn owl hunts from air,catch,hunt,chas,stalk,track,attack,,,,,,,,,,,,,,,,,,,air,sky,above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Barn owl must determine angle of elevation above the prey it's hunting,angle,orient,direct,vector,degree,,,,,,,,,,,,,,,,,,,,elevat,height,vertic,above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Barn owl locates sounds in azimuth (horizontal dimension),sound,noise,,,,,,,,,,,,,,,,,,,,,,,horizon,azimuth,axis,dimension,plane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Barn owl locates sounds better than other tested animals,locat,hear,detect,find,identif,sens,found,track,follow,recogniz,determin,,,,,,,,,,,,,,animal,creature,other,,,,,,,,,,,,,,,,,,,,,,,sound,noise,hear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Barn owl locates sounds in elevation (vertical dimension),sound,noise,,,,,,,,,,,,,,,,,,,,,,,vertic,elevat,axis,dimension,plane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Barn owl face plays most important role in locating prey,fac,head,crani,skull,,,,,,,,,,,,,,,,,,,,,hunt,spot,discover,chas,track,follow,stalk,catch,prey,mouse,mice,animal,game,creature,rodent,rat,critter,organism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Barn owl face is an anatomical feature,fac,head,crani,skull,,,,,,,,,,,,,,,,,,,,,anatom,body,feature,structur,part,physic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Barn owl face is most visually striking,fac,head,crani,skull,,,,,,,,,,,,,,,,,,,,,striking,noticeable,prominent,significant,conspicuous,distinct,stand,notable,extraordinar,salient,incredible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Barn owl's skull is narrow and small,skull,crani,bone,,,,,,,,,,,,,,,,,,,,,,narrow,small,tiny,little,slender,thin,slim,mini,diminutive,petite,lean,compact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Barn owl face is large and round,fac,head,,,,,,,,,,,,,,,,,,,,,,,large,fat,big,round,rotund,pudgy,massive,spher,circular,huge,gigantic,oval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Barn owl face made up of layers of feathers,fac,head,,,,,,,,,,,,,,,,,,,,,,,layer,level,sheet,coat,surface,,,,,,,,,,,,,,,,,,,,,feather,plum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Barn owl face feathers are stiff and dense,fac,head,,,,,,,,,,,,,,,,,,,,,,,feather,plum,,,,,,,,,,,,,,,,,,,,,,,,stiff,dens,rigid,firm,ample,thick,hard,concentrat,impenetrable,packed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Barn owl face feathers arrayed in tightly packed rows,fac,head,,,,,,,,,,,,,,,,,,,,,,,feather,plum,,,,,,,,,,,,,,,,,,,,,,,,stiff,dens,rigid,firm,ample,thick,hard,concentrat,impenetrable,packed,,,,,,,,,,,,,rows,lines,columns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Barn owl face feathers structure called facial ruff,fac,head,,,,,,,,,,,,,,,,,,,,,,,facial ruff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Facial ruff forms surface efficient in reflecting high-frequency sounds,facial ruff,,,,,,,,,,,,,,,,,,,,,,,,reflect,convey,transmit,relay,carr,transfer,,,,,,,,,,,,,,,,,,,,sound,noise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,The barn owl is capable of locating the source of a sound within a range of one to two degrees,locat,hear,detect,find,identif,sens,found,track,follow,recogniz,determin,,,,,,,,,,,,,,sound,noise,,,,,,,,,,,,,,,,,,,,,,,,degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,One degree is about width of little finger at arm's length,degree,,,,,,,,,,,,,,,,,,,,,,,,finger,digit,pinky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Human beings locating sound in azimuth have similar accuracy as barn owls,human,person,people,folks,men,dude,woman,women,man,,,,,,,,,,,,,,,,locat,hear,detect,find,identif,sens,found,track,follow,recogniz,determin,,,,,,,,,,,,,,,horizon,azimuth,axis,dimension,plane,,,,,,,,,,,,,,,,,,similar,same,equal,like,comparable,close,equivalent,near,match,analogous ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Barn owls until tested had no known ability for locating source of sound,test,discover,examin,experiment,research,investigat,stud,found,prove,,,,,,,,,,,,,,,,ability,able,can,could,,,,,,,,,,,,,,,,,,,,,,locat,hear,detect,find,identif,sens,found,track,follow,recogniz,determin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Ability to locate sound was previously greatest in human beings,locat,hear,detect,find,identif,sens,found,track,follow,recogniz,determin,,,,,,,,,,,,,,sound,noise,,,,,,,,,,,,,,,,,,,,,,,,previous,past,histor,once,before,,,,,,,,,,,,,,,,,,human,person,people,folks,men,dude,woman,women,man,,,,,,,,greatest,best,most,prime,dominant,top,highest,premier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Human beings locating sound in elevation are three times worse than barn owls,human,person,people,folks,men,dude,woman,women,man,,,,,,,,,,,,,,,,locat,hear,detect,find,identif,sens,found,track,follow,recogniz,determin,sound,noise,,,,,,,,,,,,,elevat,vertic,axis,dimension,plane,,,,,,,,,,,,,,,,,,worse,better,superior,inferior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Two troughs run through ruff from forehead to the lower jaw,troughs,,,,,,,,,,,,,,,,,,,,,,,,forehead,brow,head,fac,,,,,,,,,,,,,,,,,,,,,,jaw,beak,mouth,mandiblle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Two troughs each about nine centimeters long,troughs,,,,,,,,,,,,,,,,,,,,,,,,centimeters,cm,,,,,,,,,,,,,,,,,,,,,,,,9,nine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Two troughs collect high frequency sounds from large volume of space,troughs,,,,,,,,,,,,,,,,,,,,,,,,collect,gather,cumulate,converge,pick,hear,locat,hear,detect,find,identif,sens,found,track,follow,recogniz,determin,,,,,,,,,space,area,room,rang,expans,,,,,,,,,,,,,,,,,,sound,noise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Two troughs funnel high frequency sounds into ear canals,troughs,,,,,,,,,,,,,,,,,,,,,,,,funnel,channel,guid,feed,direct,transfer,conv,concentrat,mov,pass,siphon,takes,collect,gather,,,,,,,,,,,,sound,noise,,,,,,,,,,,,,,,,,,,,,ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Two troughs similar to fleshy exterior of human ear,troughs,,,,,,,,,,,,,,,,,,,,,,,,similar,same,equal,like,comparable,close,equivalent,near,match,analogous ,,,,,,,,,,,,,,,,human,person,people,folks,men,dude,woman,women,man,,,,,,,,,,,,,,ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Two troughs are joined below the beak,troughs,,,,,,,,,,,,,,,,,,,,,,,,are,run,go,end,abid,place,halt,terminat,resid,locat,settl,lie,nest,,,,,,,,,,,,,beak,jaw,mouth,mandiblle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,"Below the beak, there are ear openings hidden under preaural flaps",jaw,beak,mouth,mandiblle,,,,,,,,,,,,,,,,,,,,,ear,,,,,,,,,,,,,,,,,,,,,,,,,under,below,down,bottom,beneath,,,,,,,,,,,,,,,,,,preaural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Preaural flaps are two flaps of skin projected to side next to the eyes,preaural,,,,,,,,,,,,,,,,,,,,,,,,flap,fold,cover,overhang,,,,,,,,,,,,,,,,,,,,,,next,close,near,proxim,adjacent,around,by,neighbor,side,,,,,,,,,,,,,,eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,The entire elaborate facial structure is hidden under a layer of particularly fine feathers,fac,crani,head ,skull,,,,,,,,,,,,,,,,,,,,,hidden,cover,under,below,conceal,shroud,veil,overla,,,,,,,,,,,,,,,,,,feather,plum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Layer of facial feathers is acoustically transparent,fac,crani,head ,skull,,,,,,,,,,,,,,,,,,,,,feather,plum,,,,,,,,,,,,,,,,,,,,,,,,acoustic,sound,noise,,,,,,,,,,,,,,,,,,,,transparen,through,pass,travel,,past,across,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Barn owls utilize time differences between sound in left and right ears,time,count,moment,,,,,,,,,,,,,,,,,,,,,,differ,varia,contrast,deviat,distinct,discrepan,incong,imbalance,gap,inequal,unequal,independen,,,,,,,,,,,,,,left,right,between,two ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Left and right ears located at slightly different distances from source of sound,ear,,,,,,,,,,,,,,,,,,,,,,,,locat,place,position,site,are,found,set,orient,,,,,,,,,,,,,,,,,,differ,varia,contrast,deviat,distinct,discrepan,incong,imbalance,gap,unequal,independen,inequal,,,,,,,,,,,distance,area,spot,point,locat,place,span,interval,space,range,extent,stretch,length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Left and right ears receive sound waves at slightly different times,ear,,,,,,,,,,,,,,,,,,,,,,,,receive,take,get,obtain,collect,experienc,hear,gather,come,pick,acquire,detect,,,,,,,,,,,,,,differ,varia,contrast,deviat,distinct,discrepan,incong,imbalance,gap,unequal,independen,inequal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Barn owls exploit minute differences in time to determine the azimuth of sound,differ,varia,contrast,deviat,distinct,discrepan,incong,imbalance,gap,inequal,independen,unequal,,,,,,,,,,,,,time,count,moment,,,,,,,,,,,,,,,,,,,,,,,azimuth,axis,dimension,plane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,The sound is perceived louder by the ear closer to the source,sound,noise,,,,,,,,,,,,,,,,,,,,,,,loud,nois,strong,,,,,,,,,,,,,,,,,,,,,,,ear,,,,,,,,,,,,,,,,,,,,,,close,near,approach,face,toward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Barn owls are sensitive to minute differences in time,sensitiv,recept,percept,respon,aware,conscious,detect,notice,determin,sense,observ,intuit,discern,recogniz,,,,,,,,,,,differ,varia,contrast,deviat,distinct,discrepan,incong,imbalance,gap,unequal,independen,inequal,,,,,,,,,,,,,,time,count,moment,interval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Barn owls measure differences in loudness to offer clues for horizontal location,differ,varia,contrast,deviat,distinct,discrepan,incong,imbalance,gap,inequal,independen,unequal,,,,,,,,,,,,,loud,volum,pitch,power,sound,nois,,,,,,,,,,,,,,,,,,,,horizon,azimuth,axis,dimension,plane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Barn owls measure differences in loudness to help specify elevation due to unusual asymmetry in ears,differ,varia,contrast,deviat,distinct,discrepan,incong,imbalance,gap,inequal,independen,unequal,,,,,,,,,,,,,loud,volum,pitch,power,sound,nois,,,,,,,,,,,,,,,,,,,,elevat,height,vertic,above,,,,,,,,,,,,,,,,,,,asymmet,uneven,incongruity,unequal,lopsided,skew,proportion,,,,,,,,,,ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Left ear has opening directed slightly downward,ear,,,,,,,,,,,,,,,,,,,,,,,,down,below,ground,under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Left ear more sensitive to sounds from below,ear,,,,,,,,,,,,,,,,,,,,,,,,sensitiv,recept,percept,respon,aware,conscious,detect,notice,determin,sense,observ,intuit,discern,recogniz,,,,,,,,,,,,down,below,ground,under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Right ear has opening directed slightly upward,ear,,,,,,,,,,,,,,,,,,,,,,,,up,above,sky,over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Right ear more sensitive to sounds from above,ear,,,,,,,,,,,,,,,,,,,,,,,,sensitiv,recept,percept,respon,aware,conscious,detect,notice,determin,sense,observ,intuit,discern,recogniz,,,,,,,,,,,,up,above,sky,over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Information processing is accomplished in brain centers,process,clarif,verif,sort,organiz,comprehen,,,,,,,,,,,,,,,,,,,accomplish,achieve,bring,done,occur,fulfill,realize,attain,carry,complete,perform,execute,,,,,,,,,,,,,,brain,cerebr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Nerve impulses travel to network of neurons in midbrain,pulse,stimul,signal,message,current,wave,cue,prompt,communicat,,,,,,,,,,,,,,,,travel,mov,proceed,carr,advanc,through,,,,,,,,,,,,,,,,,,,,midbrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
